ID	RECEITA PREVISTA	PRECO MEDIO JAN	PRECO MEDIO FEV	PRECO MEDIO MAR
23806784	118810.0	1841.9354838709676	1791.3793103448277	1191.9354838709678
23687259	30290.0	656.451612903226	502.41379310344854	249.99999999999997
38165295	0.0	1512.9032258064526	1000.0	999.9999999999999
29537045	24563.0	563.5161290322585	550.7241379310345	249.99999999999997
18791856	39250.0	780.6451612903229	770.6896551724135	449.99999999999966
32068285	16550.0	479.35483870967727	365.5172413793104	350.0000000000001
25151890	219800.0	1264.5161290322585	1558.6206896551723	1200.0000000000005
34203865	192187.0	1789.290322580644	1801.0000000000005	1800.999999999999
24202995	38585.0	806.4516129032253	751.7241379310344	364.51612903225816
20761374	31181.0	483.5806451612906	354.1379310344827	289.99999999999994
2058259	29140.0	729.0322580645163	620.6896551724136	424.1935483870963
16990304	41709.0	584.1935483870968	457.41379310344826	369.99999999999983
26277821	19100.0	406.45161290322557	425.8620689655173	303.22580645161304
30018366	10953475.0	9915.32258064517	47176.1379310345	96765.00000000003
9682789	11700.0	538.7096774193548	533.1034482758622	249.99999999999997
37806801	9625.0	463.5806451612905	433.6206896551724	210.83870967741933
31085371	72300.0	2077.4193548387084	1720.6896551724146	843.5483870967739
35380067	24454.0	716.129032258065	672.4137931034483	268.51612903225805
8479715	9950.0	479.03225806451644	461.0344827586207	399.9999999999997
19542316	6490488.0	71930.1612903226	37200.72413793106	301.03225806451627
17264662	12050.0	849.9999999999995	750.0	750.0000000000005
38155255	5712.0	535.1612903225805	520.6896551724137	259.99999999999994
23777938	210000.0	4182.5806451612925	1021.7241379310346	772.322580645161
32240806	33750.0	971.6129032258069	944.1379310344832	410.64516129032233
3781812	39430.0	559.6774193548389	517.5862068965517	270.00000000000006
16674539	22950.0	790.3225806451609	569.6551724137933	480.00000000000034
18123697	38850.0	470.967741935484	525.8620689655172	396.77419354838685
39578289	10800.0	548.3870967741935	593.1034482758622	316.1290322580646
38343319	40503.0	1287.3548387096773	1021.7241379310346	772.322580645161
13113327	36100.0	832.2580645161285	824.4827586206897	650.0000000000006
10548049	63500.0	2225.806451612903	2000.0	1999.9999999999998
17119551	37410.0	758.0645161290317	762.0689655172413	448.38709677419314
15323966	40122.0	986.5161290322585	1121.3793103448274	725.9999999999997
13979019	45661.0	875.9354838709672	808.1724137931037	523.6774193548384
38525095	8550.0	450.96774193548373	350.0	350.0000000000001
29280628	4700.0	781.2903225806452	627.5862068965514	388.70967741935465
38460900	316468.0	4377.129032258068	5188.000000000001	5187.999999999999
22354158	15600.0	764.5161290322584	801.7241379310341	449.99999999999966
31232446	0.0	890.0000000000003	890.0000000000003	890.0000000000003
15820787	90800.0	1029.0322580645154	1024.1379310344832	700.0000000000002
19891646	9558405.0	26197.25806451612	2553.241379310344	96765.00000000003
4936246	40502.0	759.8709677419358	789.0000000000003	849.9999999999995
14773725	6000.0	9096.77419354839	8655.172413793105	5000.000000000001
19542322	12063553.0	28965.225806451595	83577.55172413793	96765.00000000003
34720365	105000.0	1027.741935483871	1000.0	999.9999999999999
28711449	16080.0	392.25806451612885	322.06896551724157	319.9999999999999
30154954	9450.0	323.87096774193566	317.24137931034477	280.00000000000006
21500045	29980.0	757.7419354838707	796.2068965517245	389.0000000000002
16306640	136100.0	2251.612903225806	2351.7241379310344	1799.9999999999986
29991428	7298677.0	829.9999999999997	892.3448275862065	87524.90322580648
14396337	49110.0	921.290322580645	896.551724137931	600.0000000000002
8679731	76698.0	1648.709677419356	1614.1724137931037	998.0000000000008
21325537	171800.0	3548.387096774197	2862.068965517243	1403.2258064516132
19542326	193830.0	678.8064516129026	744.758620689655	342.0000000000002
32842215	60890.0	1351.6129032258066	1261.724137931034	899.9999999999993
19890405	6786581.0	25417.419354838694	40521.89655172416	375.0000000000002
28431519	9500.0	698.3870967741938	700.0	280.00000000000006
39276102	2950.0	803.9677419354842	651.0344827586207	430.00000000000006
16584086	73000.0	1251.612903225807	1386.206896551724	1200.0000000000005
29958900	9300.0	459.6774193548384	410.34482758620703	312.9032258064517
29777399	5100.0	849.9999999999995	849.9999999999997	849.9999999999995
17710238	63680.0	2129.0322580645156	2093.103448275863	1756.4516129032259
29052186	19500.0	1631.2903225806454	1512.4137931034481	1500.000000000001
16488493	45000.0	751.6129032258067	693.103448275862	416.1290322580642
34994845	165300.0	4838.709677419353	5379.310344827589	4258.064516129032
10499398	48400.0	1229.0322580645163	1231.0344827586207	1025.8064516129032
20674843	138400.0	2241.9354838709683	2475.8620689655168	2032.2580645161288
7703961	136530.0	2027.4193548387102	2156.8965517241377	1500.000000000001
22609935	16380.0	807.0967741935482	821.3793103448274	779.9999999999999
32038412	82600.0	1270.9677419354841	1065.5172413793102	864.5161290322574
30502211	12000.0	750.0000000000005	750.0	300.0000000000001
17600812	15900.0	779.0322580645167	750.0	750.0000000000005
39772082	360000.0	3000.000000000002	3000.0	3000.000000000002
29591237	55530.0	2410.6451612903234	2400.0	2400.000000000001
30292882	39500.0	880.6451612903219	665.5172413793105	499.99999999999994
20437118	27500.0	350.0000000000001	522.4137931034485	350.0000000000001
31095011	15660.0	907.7419354838714	737.9310344827585	470.0000000000003
30168398	0.0	794.1935483870968	1000.0	999.9999999999999
16805238	173170.0	4215.806451612901	3493.4482758620684	2190.000000000001
31961634	16000.0	1064.516129032258	1000.0	499.99999999999994
22059222	35600.0	1564.516129032259	1493.1034482758619	750.0000000000005
20787755	0.0	635.8064516129032	500.0	499.99999999999994
38919666	6930.0	720.0000000000003	769.6551724137931	720.0000000000003
31282886	65100.0	454.838709677419	400.00000000000017	399.9999999999997
20898918	9890.0	1209.483870967742	903.793103448276	901.9354838709673
31559691	56810.0	1045.16129032258	1024.1379310344826	449.99999999999966
136432	0.0	701.612903225807	624.1379310344829	403.22580645161264
28226289	115230.0	1033.6774193548385	1037.9310344827586	953.9999999999995
21075661	13023.0	401.06451612903203	418.6206896551723	308.0322580645162
17430356	60022.0	766.903225806452	618.9655172413792	399.9999999999997
381175	70750.0	1245.1612903225807	1293.1034482758623	799.9999999999994
18396189	83880.0	1225.8064516129034	1122.7586206896556	849.9999999999995
30442350	4375.0	473.54838709677387	415.5172413793105	399.9999999999997
21147318	41766.0	800.3870967741939	722.3103448275862	478.83870967741944
31704381	1501.0	612.1935483870966	573.5172413793107	571.3548387096773
17148942	63000.0	600.0000000000002	600.0	600.0000000000002
20871556	11200.0	369.6774193548385	358.03448275862064	285.1612903225807
30972766	65940.0	1133.8709677419354	1004.1379310344827	542.9032258064515
30129817	52977.0	1021.2903225806458	899.9999999999998	508.0645161290322
17550537	15000.0	417.4193548387096	455.6896551724139	339.0
7850567	81016.0	3991.0000000000036	3371.8620689655177	2098.225806451612
37916280	15500.0	719.3548387096777	612.0689655172413	499.99999999999994
37239575	2613843.0	56504.83870967743	17400.172413793087	439.0000000000002
459941	12170.0	816.7741935483876	750.0	650.0000000000006
33586450	17530.0	1400.0	1052.413793103448	465.48387096774206
16754448	41893.0	1240.41935483871	1239.6551724137928	949.9999999999997
37832316	57710.0	748.3870967741939	743.1034482758621	700.0000000000002
39253813	3583035.0	53316.80645161292	735.9655172413794	321.00000000000006
29238594	30160.0	930.3225806451617	981.7241379310339	712.9032258064515
38570354	20270.0	720.2580645161293	717.586206896552	499.99999999999994
32100225	89850.0	650.0000000000006	649.9999999999998	650.0000000000006
16113422	23650.0	535.4838709677421	500.0	289.99999999999994
39124376	11550.0	484.8387096774192	393.793103448276	379.99999999999983
21602572	28240.0	517.4193548387096	414.4827586206899	319.9999999999999
22464618	75817.0	730.6451612903229	627.5862068965519	580.3225806451612
39176295	9097034.0	43969.967741935514	7178.379310344828	96765.00000000003
16399931	30919.0	806.4516129032263	777.5862068965514	425.8064516129029
28600926	16530.0	220.32258064516128	289.31034482758616	131.93548387096772
21537168	17740.0	596.1290322580644	508.2758620689654	300.0000000000001
28198031	96100.0	2390.322580645163	2155.172413793104	1999.9999999999998
26326737	677708.0	13007.51612903225	677.413793103448	331.9999999999999
39300924	0.0	580.6451612903226	341.3793103448275	249.99999999999997
36484904	43200.0	766.129032258065	661.3793103448274	486.4516129032256
38488099	9300.0	550.0000000000001	549.9999999999999	550.0000000000001
22629043	18865.0	716.1290322580647	601.7241379310344	150.00000000000006
21816769	12800.0	675.8064516129034	610.3448275862066	453.2258064516126
32545822	3349.0	552.2580645161288	520.6896551724137	260.29032258064507
39409422	13132.0	352.2580645161289	431.17241379310343	289.99999999999994
34201997	343343.0	3148.3870967741923	1800.0000000000002	1799.9999999999986
39728669	11674.0	503.16129032258095	500.62068965517255	294.0000000000002
34780232	29850.0	603.2258064516133	668.9655172413795	300.0000000000001
3503050	6395371.0	623.4516129032259	7523.551724137931	100466.22580645158
34711332	74300.0	2074.1935483870952	1720.6896551724146	838.7096774193545
8341066	42781.0	239.00000000000009	238.99999999999997	239.00000000000009
27287347	47270.0	965.4838709677423	877.586206896552	448.0645161290319
23611026	27630.0	469.67741935483883	556.8965517241377	304.8387096774195
39545021	12038.0	458.7419354838711	433.6206896551724	210.83870967741933
22663843	85200.0	600.0000000000002	600.0	600.0000000000002
36930878	54122.0	786.9677419354834	630.1724137931034	479.67741935483895
35124027	33460.0	638.7096774193552	510.34482758620686	437.09677419354796
38694397	20039.0	1271.7419354838707	1594.586206896552	1116.6451612903227
16414821	83150.0	1033.8709677419347	967.2413793103451	743.5483870967746
23642570	3000.0	427.74193548387063	400.68965517241395	399.9999999999997
31389869	30445.0	446.45161290322557	487.24137931034477	344.99999999999994
29608999	15300.0	377.74193548387115	385.8620689655171	300.0000000000001
23090657	9860.0	406.1290322580643	443.1034482758621	322.5806451612905
31959169	8810.0	322.5806451612905	317.24137931034477	280.00000000000006
28078291	66400.0	1474.1935483870982	1396.5517241379305	1100.0000000000002
8210472	79850.0	1999.9999999999998	2000.0	1999.9999999999998
28279162	29000.0	1251.612903225807	1200.0	503.22580645161315
38982987	38770.0	278.3870967741934	209.99999999999997	210.00000000000014
5153438	22040.0	435.48387096774155	418.6206896551724	374.1935483870968
37020048	5750.0	541.9354838709678	515.5172413793103	445.16129032258027
25477095	55850.0	603.0645161290324	636.2068965517242	403.2258064516128
9200498	93480.0	1903.2258064516143	1762.068965517241	790.0000000000003
16108749	19000.0	499.99999999999994	500.0	499.99999999999994
10433196	57101.0	319.00000000000006	319.0	319.00000000000006
37370899	3850.0	704.83870967742	541.3793103448276	350.0000000000001
20424253	5423260.0	47115.54838709677	20624.758620689656	18987.580645161306
11198203	29870.0	1029.096774193548	974.8275862068964	650.0000000000006
32174595	28900.0	538.3870967741937	481.72413793103453	366.1290322580647
5083196	6050.0	366.1290322580646	384.4827586206896	350.0000000000001
14519117	22000.0	496.7741935483866	443.1034482758621	350.0000000000001
30744349	20850.0	616.1290322580647	641.3793103448277	499.99999999999994
37655127	214200.0	1358.0645161290329	1451.7241379310344	1500.000000000001
35610231	282600.0	1799.9999999999986	1800.0000000000002	1799.9999999999986
29803260	18900.0	994.1935483870967	808.2758620689658	799.9999999999994
39218340	70385.0	611.2903225806447	537.0344827586208	558.0645161290324
11783790	50870.0	545.8064516129031	556.5517241379308	379.99999999999983
4828196	31478.0	584.7096774193545	535.0	238.0000000000001
39795765	198900.0	1300.0000000000011	1299.9999999999995	1300.0000000000011
21163135	12850.0	504.83870967741933	472.41379310344854	399.9999999999997
23309510	64473.0	1025.4516129032263	1241.3793103448277	999.9999999999999
20747958	178050.0	1891.9354838709678	1986.2068965517237	1650.0000000000005
862171	125840.0	2574.1935483870966	2724.137931034484	1687.7419354838705
21261179	32400.0	899.9999999999993	1106.8965517241384	919.3548387096768
30463614	27600.0	999.9999999999999	875.8620689655174	999.9999999999999
16780611	22770.0	446.77419354838673	496.5517241379312	399.9999999999997
33048099	120700.0	2032.2580645161277	1596.5517241379307	1138.7096774193549
382920	101100.0	1248.3870967741937	1327.5862068965519	787.0967741935482
29780793	187100.0	1300.0000000000011	1299.9999999999995	1300.0000000000011
38895567	15640.0	506.45161290322545	493.44827586206907	379.99999999999983
6860005	16100.0	566.1290322580646	527.5862068965516	350.0000000000001
3820822	6380688.0	591.8387096774194	7233.344827586207	100776.25806451606
22294290	32752.0	401.0322580645165	496.6206896551724	352.00000000000017
19542318	774484.0	12951.774193548381	546.9310344827588	321.00000000000006
37585364	92050.0	1411.2903225806451	950.0	550.0000000000001
21311312	11250.0	922.5806451612897	811.0344827586207	490.0000000000001
8287108	36869.0	838.7096774193545	749.9999999999998	422.58064516129
16954539	104870.0	1433.8709677419365	1467.2413793103456	802.9032258064509
21538493	20710.0	273.87096774193543	205.17241379310354	249.99999999999997
21259905	187000.0	2258.064516129033	2137.931034482759	1467.7419354838717
28407303	94400.0	799.9999999999994	800.0000000000003	864.1935483870972
39809239	850.0	849.9999999999995	849.9999999999997	849.9999999999995
26358603	968271.0	13007.51612903225	699.4482758620687	331.9999999999999
26254809	2614142.0	22444.74193548386	825.0	439.0000000000002
38570192	14215.0	541.2903225806456	549.6551724137933	399.9999999999997
21692678	3850.0	708.0645161290329	541.3793103448276	350.0000000000001
382936	57500.0	812.9032258064516	855.1724137931038	399.9999999999997
39814394	21310.0	601.2903225806454	602.4137931034483	625.483870967742
28438428	6420306.0	75059.80645161292	37426.13793103453	589.0
39549549	4000.0	567.7419354838712	460.34482758620715	399.9999999999997
37860395	14350.0	572.5806451612902	532.7586206896553	350.0000000000001
14762797	336947.0	3175.258064516128	2624.034482758621	1892.9999999999986
30169499	6100.0	359.67741935483883	290.0	249.99999999999997
2220886	9950.0	616.1290322580647	572.068965517241	337.0967741935484
16069840	39290.0	758.7096774193553	700.0	360.00000000000017
30821883	26890.0	499.67741935483883	491.3793103448275	249.99999999999997
38772752	81100.0	870.9677419354846	701.7241379310343	650.0000000000006
32420036	9350.0	550.0000000000001	552.758620689655	550.0000000000001
26326919	776944.0	22272.870967741947	525.1724137931033	331.9999999999999
22434459	11053.0	514.2258064516129	397.58620689655174	177.74193548387086
39756223	355.0	584.5161290322579	709.137931034483	354.9999999999998
23632178	13000.0	564.516129032258	500.0	600.0000000000002
38071440	1500.0	982.2580645161285	849.9999999999997	799.9999999999994
30307822	53100.0	529.0322580645161	639.655172413793	449.99999999999966
10961184	16840.0	591.2903225806456	491.3793103448277	319.5806451612902
16063974	20100.0	774.1935483870973	696.5517241379308	499.99999999999994
21383140	79790.0	2249.354838709678	2405.8620689655177	1689.9999999999998
39527788	10200.0	600.0000000000002	600.0	600.0000000000002
39391076	13130.0	435.48387096774167	505.1724137931036	366.12903225806457
16139808	58100.0	1706.451612903225	1603.4482758620693	899.9999999999993
29458216	65288.0	740.5806451612908	599.0	599.0000000000001
31339078	155920.0	2167.7419354838707	1367.9310344827586	1200.0000000000005
27755647	43700.0	696.7741935483874	537.9310344827584	399.9999999999997
37685958	48600.0	2496.774193548388	2399.9999999999995	1267.7419354838714
899289	20730.0	845.161290322581	652.0689655172413	490.0000000000001
15379378	82520.0	1912.90322580645	1688.6206896551732	989.9999999999992
39026278	25690.0	427.0967741935484	356.2068965517242	300.0000000000001
31647674	123358.0	741.1612903225803	815.5172413793101	801.6129032258059
16633066	42944.0	1297.0645161290329	836.137931034483	658.9999999999999
29680715	64490.0	2091.6129032258063	2000.0	1661.2903225806465
16400213	11590.0	675.8064516129034	739.6551724137929	422.58064516129
39392716	3870626.0	851.1290322580642	959.758620689655	31765.87096774193
